id,givenName,familyName,middleName,unaccentedGivenName,unaccentedFamilyName,unaccentedMiddleName,nickName,honorificPrefix,honorificSuffix,honorificTitle,birthYear,deathYear,congresses
A000048,Stephen,Adams,,Stephen,Adams,,,Mr.,,,1807,1857,"[{""position"":""Representative"",""congressNumber"":29,""stateName"":""MS"",""parties"":[""Democrat""],""electionDate"":""1845-11-03"",""electionCirca"":true},{""position"":""Senator"",""congressNumber"":32,""stateName"":""MS"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":33,""stateName"":""MS"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":34,""stateName"":""MS"",""parties"":[""Democrat""]}]"
A000062,George,Aiken,David,George,Aiken,David,,,,,1892,1984,"[{""position"":""Senator"",""congressNumber"":77,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":78,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":79,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":80,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":81,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":82,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":83,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":84,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":85,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":86,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":87,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":88,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":89,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":90,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":91,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":92,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":93,""stateName"":""VT"",""parties"":[""Republican""]}]"
A000069,Daniel,Akaka,Kahikina,Daniel,Akaka,Kahikina,,,,,1924,2018,"[{""position"":""Representative"",""congressNumber"":95,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":100,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":101,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":103,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":108,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":110,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":105,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":106,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":109,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":111,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":96,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":97,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":107,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":112,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":98,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":99,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":102,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":104,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":101,""stateName"":""HI"",""parties"":[""Democrat""],""electionCirca"":false}]"
A000079,James,Alcorn,Lusk,James,Alcorn,Lusk,,,,,1816,1894,"[{""position"":""Senator"",""congressNumber"":42,""stateName"":""MS"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":43,""stateName"":""MS"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":44,""stateName"":""MS"",""parties"":[""Republican""]}]"
A000083,Nelson,Aldrich,Wilmarth,Nelson,Aldrich,Wilmarth,,,,,1841,1915,"[{""position"":""Representative"",""congressNumber"":46,""stateName"":""RI"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":47,""stateName"":""RI"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":47,""stateName"":""RI"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":48,""stateName"":""RI"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":49,""stateName"":""RI"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":50,""stateName"":""RI"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":51,""stateName"":""RI"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":52,""stateName"":""RI"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":53,""stateName"":""RI"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":54,""stateName"":""RI"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":55,""stateName"":""RI"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":56,""stateName"":""RI"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":57,""stateName"":""RI"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":58,""stateName"":""RI"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":59,""stateName"":""RI"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":60,""stateName"":""RI"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":61,""stateName"":""RI"",""parties"":[""Republican""]}]"
A000360,Lamar,Alexander,,Lamar,Alexander,,,,,,1940,,"[{""position"":""Senator"",""congressNumber"":108,""stateName"":""TN"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":109,""stateName"":""TN"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":110,""stateName"":""TN"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":111,""stateName"":""TN"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":112,""stateName"":""TN"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":113,""stateName"":""TN"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""TN"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""TN"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""TN"",""parties"":[""Republican""]}]"
A000107,Russell,Alger,Alexander,Russell,Alger,Alexander,,,,,1836,1907,"[{""position"":""Senator"",""congressNumber"":57,""stateName"":""MI"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":58,""stateName"":""MI"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":59,""stateName"":""MI"",""parties"":[""Republican""]}]"
A000109,A.,Allard,Wayne,A.,Allard,Wayne,,,,,1943,,"[{""position"":""Representative"",""congressNumber"":102,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":103,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":104,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":105,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":106,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":107,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":108,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":109,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":110,""stateName"":""CO"",""parties"":[""Republican""]}]"
A000110,James,Allee,Frank,James,Allee,Frank,,,,,1857,1938,"[{""position"":""Senator"",""congressNumber"":57,""stateName"":""DE"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":58,""stateName"":""DE"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":59,""stateName"":""DE"",""parties"":[""Republican""]}]"
A000121,George,Allen,,George,Allen,,,,,,1952,,"[{""position"":""Representative"",""congressNumber"":102,""stateName"":""VA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":107,""stateName"":""VA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":108,""stateName"":""VA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":109,""stateName"":""VA"",""parties"":[""Republican""]}]"
