id,givenName,familyName,unaccentedFamilyName,birthYear,deathYear,congresses,congressNumber,position,state,parties,congressYear,age,fullName
A000197,Joseph,Anderson,anderson,1757.0,1837.0,"[{""position"":""Senator"",""congressNumber"":5,""stateName"":""TN"",""parties"":[""Democratic Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":6,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":7,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":8,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":9,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":10,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":11,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":12,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":13,""stateName"":""TN"",""parties"":[""Democratic Republican""]}]",11,Senator,TN,Democratic Republican,1809,52.0,Joseph anderson
A000197,Joseph,Anderson,anderson,1757.0,1837.0,"[{""position"":""Senator"",""congressNumber"":5,""stateName"":""TN"",""parties"":[""Democratic Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":6,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":7,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":8,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":9,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":10,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":11,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":12,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":13,""stateName"":""TN"",""parties"":[""Democratic Republican""]}]",12,Senator,TN,Democratic Republican,1811,54.0,Joseph anderson
A000197,Joseph,Anderson,anderson,1757.0,1837.0,"[{""position"":""Senator"",""congressNumber"":5,""stateName"":""TN"",""parties"":[""Democratic Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":6,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":7,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":8,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":9,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":10,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":11,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":12,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":13,""stateName"":""TN"",""parties"":[""Democratic Republican""]}]",13,Senator,TN,Democratic Republican,1813,56.0,Joseph anderson
A000282,John,Armstrong,armstrong,1758.0,1843.0,"[{""position"":""Delegate"",""congressNumber"":1,""stateName"":""PA""},{""position"":""Senator"",""congressNumber"":6,""stateName"":""NY"",""parties"":[""Democratic Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":7,""stateName"":""NY"",""parties"":[""Democratic Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":8,""stateName"":""NY"",""parties"":[""Democratic Republican""],""electionCirca"":false}]",6,Senator,NY,Democratic Republican,1799,41.0,John armstrong
A000282,John,Armstrong,armstrong,1758.0,1843.0,"[{""position"":""Delegate"",""congressNumber"":1,""stateName"":""PA""},{""position"":""Senator"",""congressNumber"":6,""stateName"":""NY"",""parties"":[""Democratic Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":7,""stateName"":""NY"",""parties"":[""Democratic Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":8,""stateName"":""NY"",""parties"":[""Democratic Republican""],""electionCirca"":false}]",7,Senator,NY,Democratic Republican,1801,43.0,John armstrong
A000282,John,Armstrong,armstrong,1758.0,1843.0,"[{""position"":""Delegate"",""congressNumber"":1,""stateName"":""PA""},{""position"":""Senator"",""congressNumber"":6,""stateName"":""NY"",""parties"":[""Democratic Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":7,""stateName"":""NY"",""parties"":[""Democratic Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":8,""stateName"":""NY"",""parties"":[""Democratic Republican""],""electionCirca"":false}]",8,Senator,NY,Democratic Republican,1803,45.0,John armstrong
A000317,Eli,Ashmun,ashmun,1770.0,1819.0,"[{""position"":""Senator"",""congressNumber"":14,""stateName"":""MA"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":15,""stateName"":""MA"",""parties"":[""Federalist""]}]",14,Senator,MA,Federalist,1815,45.0,Eli ashmun
A000317,Eli,Ashmun,ashmun,1770.0,1819.0,"[{""position"":""Senator"",""congressNumber"":14,""stateName"":""MA"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":15,""stateName"":""MA"",""parties"":[""Federalist""]}]",15,Senator,MA,Federalist,1817,47.0,Eli ashmun
B000049,Theodorus,Bailey,bailey,1758.0,1828.0,"[{""position"":""Representative"",""congressNumber"":3,""stateName"":""NY"",""parties"":[""Anti-Administration""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":4,""stateName"":""NY"",""parties"":[""Democratic Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":6,""stateName"":""NY"",""parties"":[""Democratic Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":7,""stateName"":""NY"",""parties"":[""Democratic Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":8,""stateName"":""NY"",""parties"":[""Democratic Republican""],""electionCirca"":false}]",8,Senator,NY,Democratic Republican,1803,45.0,Theodorus bailey
B000084,Abraham,Baldwin,baldwin,1754.0,1807.0,"[{""position"":""Delegate"",""congressNumber"":2,""stateName"":""GA""},{""position"":""Delegate"",""congressNumber"":1,""stateName"":""GA""},{""position"":""Delegate"",""congressNumber"":1,""stateName"":""GA""},{""position"":""Representative"",""congressNumber"":1,""stateName"":""GA"",""parties"":[""Anti-Administration""]},{""position"":""Representative"",""congressNumber"":2,""stateName"":""GA"",""parties"":[""Anti-Administration""]},{""position"":""Representative"",""congressNumber"":3,""stateName"":""GA"",""parties"":[""Anti-Administration""]},{""position"":""Representative"",""congressNumber"":4,""stateName"":""GA"",""parties"":[""Democratic Republican""]},{""position"":""Representative"",""congressNumber"":5,""stateName"":""GA"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":6,""stateName"":""GA"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":7,""stateName"":""GA"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":8,""stateName"":""GA"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":9,""stateName"":""GA"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":10,""stateName"":""GA"",""parties"":[""Democratic Republican""]}]",6,Senator,GA,Democratic Republican,1799,45.0,Abraham baldwin
