name,votes,committee,cmte_type,date,congress,page,first,st
barbour,1,Cmte on petition of John Duckworth & others for post route,,1815-12-13,14,7,,
brown,1,Cmte on petition of John Duckworth & others for post route,,1815-12-13,14,7,,
chase,3,Cmte on petition of John Duckworth & others for post route,,1815-12-13,14,7,,
condit,7,Cmte on petition of John Duckworth & others for post route,,1815-12-13,14,7,,
fromentin,1,Cmte on petition of John Duckworth & others for post route,,1815-12-13,14,7,,
horsey,3,Cmte on petition of John Duckworth & others for post route,,1815-12-13,14,7,,
mason,2,Cmte on petition of John Duckworth & others for post route,,1815-12-13,14,7,Jeremiah,NH
morrow,3,Cmte on petition of John Duckworth & others for post route,,1815-12-13,14,7,,
roberts,5,Cmte on petition of John Duckworth & others for post route,,1815-12-13,14,7,,
ruggles,2,Cmte on petition of John Duckworth & others for post route,,1815-12-13,14,7,,
sanford,2,Cmte on petition of John Duckworth & others for post route,,1815-12-13,14,7,,
taylor,2,Cmte on petition of John Duckworth & others for post route,,1815-12-13,14,7,John,SC
williams,2,Cmte on petition of John Duckworth & others for post route,,1815-12-13,14,7,,
wilson,14,Cmte on petition of John Duckworth & others for post route,,1815-12-13,14,7,,
barbour,1,cmte on petition of John Thompson,,1815-12-14,14,7,,
campbell,1,cmte on petition of John Thompson,,1815-12-14,14,7,,
condit,2,cmte on petition of John Thompson,,1815-12-14,14,7,,
daggett,1,cmte on petition of John Thompson,,1815-12-14,14,7,,
fromentin,1,cmte on petition of John Thompson,,1815-12-14,14,7,,
horsey,1,cmte on petition of John Thompson,,1815-12-14,14,7,,
howell,1,cmte on petition of John Thompson,,1815-12-14,14,7,,
hunter,1,cmte on petition of John Thompson,,1815-12-14,14,7,,
lacock,1,cmte on petition of John Thompson,,1815-12-14,14,7,,
macon,6,cmte on petition of John Thompson,,1815-12-14,14,7,,
roberts,14,cmte on petition of John Thompson,,1815-12-14,14,7,,
ruggles,1,cmte on petition of John Thompson,,1815-12-14,14,7,,
sanford,4,cmte on petition of John Thompson,,1815-12-14,14,7,,
tichenor,1,cmte on petition of John Thompson,,1815-12-14,14,7,,
tait,2,cmte on petition of John Thompson,,1815-12-14,14,7,,
taylor,3,cmte on petition of John Thompson,,1815-12-14,14,7,John,SC
turner,1,cmte on petition of John Thompson,,1815-12-14,14,7,,
varnum,4,cmte on petition of John Thompson,,1815-12-14,14,7,,
williams,1,cmte on petition of John Thompson,,1815-12-14,14,7,,
wilson,1,cmte on petition of John Thompson,,1815-12-14,14,7,,
barbour,1,cmte on petition of Mayor + Alderman and inhabitants of New Orleans asking arsenal military hospital and barracks be sold and moved to suburbs from public squares,,1815-12-14,14,7,,
barry,1,cmte on petition of Mayor + Alderman and inhabitants of New Orleans asking arsenal military hospital and barracks be sold and moved to suburbs from public squares,,1815-12-14,14,7,,
brown,10,cmte on petition of Mayor + Alderman and inhabitants of New Orleans asking arsenal military hospital and barracks be sold and moved to suburbs from public squares,,1815-12-14,14,7,,
campbell,5,cmte on petition of Mayor + Alderman and inhabitants of New Orleans asking arsenal military hospital and barracks be sold and moved to suburbs from public squares,,1815-12-14,14,7,,
daggett,2,cmte on petition of Mayor + Alderman and inhabitants of New Orleans asking arsenal military hospital and barracks be sold and moved to suburbs from public squares,,1815-12-14,14,7,,
fromentin,16,cmte on petition of Mayor + Alderman and inhabitants of New Orleans asking arsenal military hospital and barracks be sold and moved to suburbs from public squares,,1815-12-14,14,7,,
