name,votes,committee,cmte_type,date,congress,page,first,st
anderson,1,Cmte respecting books,,1801-12-07,7,1,,
breckinridge,3,Cmte respecting books,,1801-12-07,7,1,,
bradley,4,Cmte respecting books,,1801-12-07,7,1,,
chipman,4,Cmte respecting books,,1801-12-07,7,1,,
foster,1,Cmte respecting books,,1801-12-07,7,1,Theodore,RI
jackson,1,Cmte respecting books,,1801-12-07,7,1,,
logan,2,Cmte respecting books,,1801-12-07,7,1,,
mason,3,Cmte respecting books,,1801-12-07,7,1,Stevens,VA
nicholas,5,Cmte respecting books,,1801-12-07,7,1,,
olcott,1,Cmte respecting books,,1801-12-07,7,1,,
tracy,7,Cmte respecting books,,1801-12-07,7,1,,
wells,2,Cmte respecting books,,1801-12-07,7,1,,
anderson,9,Jt cmte to wait on PUS,,1801-12-07,7,1,,
breckinridge,2,Jt cmte to wait on PUS,,1801-12-07,7,1,,
bradley,2,Jt cmte to wait on PUS,,1801-12-07,7,1,,
chipman,1,Jt cmte to wait on PUS,,1801-12-07,7,1,,
cocke,1,Jt cmte to wait on PUS,,1801-12-07,7,1,,
foster,3,Jt cmte to wait on PUS,,1801-12-07,7,1,Theodore,RI
howard,2,Jt cmte to wait on PUS,,1801-12-07,7,1,,
jackson,4,Jt cmte to wait on PUS,,1801-12-07,7,1,,
logan,2,Jt cmte to wait on PUS,,1801-12-07,7,1,,
mason,1,Jt cmte to wait on PUS,,1801-12-07,7,1,Stevens,VA
nicholas,3,Jt cmte to wait on PUS,,1801-12-07,7,1,,
tracy,1,Jt cmte to wait on PUS,,1801-12-07,7,1,,
wells,1,Jt cmte to wait on PUS,,1801-12-07,7,1,,
anderson,1,cmte on French Convention,,1801-12-11,7,1,,
breckinridge,1,cmte on French Convention,,1801-12-11,7,1,,
bradley,4,cmte on French Convention,,1801-12-11,7,1,,
chipman,3,cmte on French Convention,,1801-12-11,7,1,,
ellery,2,cmte on French Convention,,1801-12-11,7,1,,
foster,1,cmte on French Convention,,1801-12-11,7,1,Theodore,RI
howard,3,cmte on French Convention,,1801-12-11,7,1,,
jackson,9,cmte on French Convention,,1801-12-11,7,1,,
logan,10,cmte on French Convention,,1801-12-11,7,1,,
mason,3,cmte on French Convention,,1801-12-11,7,1,Stevens,VA
mason,2,cmte on French Convention,,1801-12-11,7,1,Jonathan,MA
nicholas,5,cmte on French Convention,,1801-12-11,7,1,,
sheafe,1,cmte on French Convention,,1801-12-11,7,1,,
tracy,6,cmte on French Convention,,1801-12-11,7,1,,
wells,2,cmte on French Convention,,1801-12-11,7,1,,
white,1,cmte on French Convention,,1801-12-11,7,1,,
wright,2,cmte on French Convention,,1801-12-11,7,1,,
anderson,1,Cmte on petition of Daniel Fox,,1801-12-16,7,1,,
bradley,2,Cmte on petition of Daniel Fox,,1801-12-16,7,1,,
breckinridge,3,Cmte on petition of Daniel Fox,,1801-12-16,7,1,,
chipman,1,Cmte on petition of Daniel Fox,,1801-12-16,7,1,,
cocke,12,Cmte on petition of Daniel Fox,,1801-12-16,7,1,,
ellery,6,Cmte on petition of Daniel Fox,,1801-12-16,7,1,,
foster,4,Cmte on petition of Daniel Fox,,1801-12-16,7,1,Theodore,RI
foster,4,Cmte on petition of Daniel Fox,,1801-12-16,7,1,Dwight,MA
hillhouse,3,Cmte on petition of Daniel Fox,,1801-12-16,7,1,,
logan,1,Cmte on petition of Daniel Fox,,1801-12-16,7,1,,
mason,1,Cmte on petition of Daniel Fox,,1801-12-16,7,1,Stevens,VA
mason,2,Cmte on petition of Daniel Fox,,1801-12-16,7,1,Jonathan,MA
nicholas,5,Cmte on petition of Daniel Fox,,1801-12-16,7,1,,
ogden,1,Cmte on petition of Daniel Fox,,1801-12-16,7,1,,
tracy,4,Cmte on petition of Daniel Fox,,1801-12-16,7,1,,
wells,2,Cmte on petition of Daniel Fox,,1801-12-16,7,1,,
anderson,1,Cmte on Simon Willard's letter,,1801-12-16,7,1,,
bradley,3,Cmte on Simon Willard's letter,,1801-12-16,7,1,,
chipman,4,Cmte on Simon Willard's letter,,1801-12-16,7,1,,
cocke,4,Cmte on Simon Willard's letter,,1801-12-16,7,1,,
ellery,1,Cmte on Simon Willard's letter,,1801-12-16,7,1,,
foster,5,Cmte on Simon Willard's letter,,1801-12-16,7,1,Theodore,RI
foster,1,Cmte on Simon Willard's letter,,1801-12-16,7,1,Dwight,MA
franklin,2,Cmte on Simon Willard's letter,,1801-12-16,7,1,,
hillhouse,2,Cmte on Simon Willard's letter,,1801-12-16,7,1,,
howard,1,Cmte on Simon Willard's letter,,1801-12-16,7,1,,
jackson,15,Cmte on Simon Willard's letter,,1801-12-16,7,1,,
logan,4,Cmte on Simon Willard's letter,,1801-12-16,7,1,,
mason,2,Cmte on Simon Willard's letter,,1801-12-16,7,1,Stevens,VA
mason,6,Cmte on Simon Willard's letter,,1801-12-16,7,1,Jonathan,MA
nicholas,2,Cmte on Simon Willard's letter,,1801-12-16,7,1,,
ogden,1,Cmte on Simon Willard's letter,,1801-12-16,7,1,,
tracy,3,Cmte on Simon Willard's letter,,1801-12-16,7,1,,
white,1,Cmte on Simon Willard's letter,,1801-12-16,7,1,,
wright,1,Cmte on Simon Willard's letter,,1801-12-16,7,1,,
anderson,5,Cmte on library,,1801-12-31,7,1,,
breckinridge,4,Cmte on library,,1801-12-31,7,1,,
chipman,2,Cmte on library,,1801-12-31,7,1,,
cocke,1,Cmte on library,,1801-12-31,7,1,,
colhoun,1,Cmte on library,,1801-12-31,7,1,,
dayton,6,Cmte on library,,1801-12-31,7,1,,
ellery,2,Cmte on library,,1801-12-31,7,1,,
foster,4,Cmte on library,,1801-12-31,7,1,Dwight,MA
hillhouse,1,Cmte on library,,1801-12-31,7,1,,
jackson,1,Cmte on library,,1801-12-31,7,1,,
logan,8,Cmte on library,,1801-12-31,7,1,,
mason,3,Cmte on library,,1801-12-31,7,1,Jonathan,MA
morris,1,Cmte on library,,1801-12-31,7,1,,
ogden,1,Cmte on library,,1801-12-31,7,1,,
olcott,1,Cmte on library,,1801-12-31,7,1,,
stone,1,Cmte on library,,1801-12-31,7,1,,
tracy,15,Cmte on library,,1801-12-31,7,1,,
white,2,Cmte on library,,1801-12-31,7,1,,
anderson,4,Cmte on Isaac Zane's petition,,1801-12-31,7,1,,
breckinridge,16,Cmte on Isaac Zane's petition,,1801-12-31,7,1,,
chipman,1,Cmte on Isaac Zane's petition,,1801-12-31,7,1,,
cocke,4,Cmte on Isaac Zane's petition,,1801-12-31,7,1,,
foster,2,Cmte on Isaac Zane's petition,,1801-12-31,7,1,Dwight,MA
jackson,3,Cmte on Isaac Zane's petition,,1801-12-31,7,1,,
logan,1,Cmte on Isaac Zane's petition,,1801-12-31,7,1,,
mason,3,Cmte on Isaac Zane's petition,,1801-12-31,7,1,Jonathan,MA
ogden,5,Cmte on Isaac Zane's petition,,1801-12-31,7,1,,
olcott,1,Cmte on Isaac Zane's petition,,1801-12-31,7,1,,
stone,3,Cmte on Isaac Zane's petition,,1801-12-31,7,1,,
tracy,10,Cmte on Isaac Zane's petition,,1801-12-31,7,1,,
white,2,Cmte on Isaac Zane's petition,,1801-12-31,7,1,,
anderson,3,Cmte bill apportion representatives,,1802-01-07,7,1,,
breckinridge,3,Cmte bill apportion representatives,,1802-01-07,7,1,,
brown,1,Cmte bill apportion representatives,,1802-01-07,7,1,,
chipman,3,Cmte bill apportion representatives,,1802-01-07,7,1,,
cocke,2,Cmte bill apportion representatives,,1802-01-07,7,1,,
dayton,5,Cmte bill apportion representatives,,1802-01-07,7,1,,
ellery,14,Cmte bill apportion representatives,,1802-01-07,7,1,,
foster,2,Cmte bill apportion representatives,,1802-01-07,7,1,Theodore,RI
foster,3,Cmte bill apportion representatives,,1802-01-07,7,1,Dwight,MA
hillhouse,1,Cmte bill apportion representatives,,1802-01-07,7,1,,
howard,5,Cmte bill apportion representatives,,1802-01-07,7,1,,
jackson,13,Cmte bill apportion representatives,,1802-01-07,7,1,,
logan,15,Cmte bill apportion representatives,,1802-01-07,7,1,,
mason,4,Cmte bill apportion representatives,,1802-01-07,7,1,Jonathan,MA
morris,1,Cmte bill apportion representatives,,1802-01-07,7,1,,
nicholas,15,Cmte bill apportion representatives,,1802-01-07,7,1,,
ogden,1,Cmte bill apportion representatives,,1802-01-07,7,1,,
olcott,1,Cmte bill apportion representatives,,1802-01-07,7,1,,
sheafe,3,Cmte bill apportion representatives,,1802-01-07,7,1,,
stone,12,Cmte bill apportion representatives,,1802-01-07,7,1,,
sumter,2,Cmte bill apportion representatives,,1802-01-07,7,1,,
tracy,8,Cmte bill apportion representatives,,1802-01-07,7,1,,
white,10,Cmte bill apportion representatives,,1802-01-07,7,1,,
wright,1,Cmte bill apportion representatives,,1802-01-07,7,1,,
brown,4,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1,,
chipman,1,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1,,
cocke,1,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1,,
colhoun,3,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1,,
dayton,2,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1,,
ellery,4,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1,,
foster,1,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1,Dwight,MA
franklin,1,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1,,
hillhouse,3,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1,,
howard,9,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1,,
jackson,3,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1,,
mason,5,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1,Stevens,VA
mason,3,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1,Jonathan,MA
morris,1,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1,,
nicholas,5,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1,,
olcott,2,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1,,
sheafe,1,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1,,
stone,2,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1,,
sumter,1,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1,,
tracy,12,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1,,
white,3,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1,,
wright,11,Cmte on message of PUS of Jan 11 with report of commissioners of city of Washington,,1802-01-11,7,1,,
anderson,4,Cmte of conference on bill library,,1802-01-15,7,1,,
baldwin,9,Cmte of conference on bill library,,1802-01-15,7,1,,
cocke,1,Cmte of conference on bill library,,1802-01-15,7,1,,
dayton,2,Cmte of conference on bill library,,1802-01-15,7,1,,
