name,votes,committee,cmte_type,date,congress,page,first,st
bledsoe,1,cmte on enrolled bills,,1813-05-24,13,7,,
chase,2,cmte on enrolled bills,,1813-05-24,13,7,,
goldsborough,1,cmte on enrolled bills,,1813-05-24,13,7,,
hunter,1,cmte on enrolled bills,,1813-05-24,13,7,,
morrow,1,cmte on enrolled bills,,1813-05-24,13,7,,
stone,4,cmte on enrolled bills,,1813-05-24,13,7,,
tait,1,cmte on enrolled bills,,1813-05-24,13,7,,
varnum,9,cmte on enrolled bills,,1813-05-24,13,7,,
bledsoe,2,Cmte on engrossed bills - Howell move,,1813-05-24,13,7,,
brown,3,Cmte on engrossed bills - Howell move,,1813-05-24,13,7,,
bulloch,2,Cmte on engrossed bills - Howell move,,1813-05-24,13,7,,
campbell,1,Cmte on engrossed bills - Howell move,,1813-05-24,13,7,,
chase,3,Cmte on engrossed bills - Howell move,,1813-05-24,13,7,,
daggett,4,Cmte on engrossed bills - Howell move,,1813-05-24,13,7,,
gilman,3,Cmte on engrossed bills - Howell move,,1813-05-24,13,7,,
horsey,2,Cmte on engrossed bills - Howell move,,1813-05-24,13,7,,
howell,19,Cmte on engrossed bills - Howell move,,1813-05-24,13,7,,
king,2,Cmte on engrossed bills - Howell move,,1813-05-24,13,7,,
lambert,3,Cmte on engrossed bills - Howell move,,1813-05-24,13,7,,
morrow,5,Cmte on engrossed bills - Howell move,,1813-05-24,13,7,,
roberts,6,Cmte on engrossed bills - Howell move,,1813-05-24,13,7,,
stone,3,Cmte on engrossed bills - Howell move,,1813-05-24,13,7,,
tait,5,Cmte on engrossed bills - Howell move,,1813-05-24,13,7,,
taylor,2,Cmte on engrossed bills - Howell move,,1813-05-24,13,7,,
turner,1,Cmte on engrossed bills - Howell move,,1813-05-24,13,7,,
varnum,1,Cmte on engrossed bills - Howell move,,1813-05-24,13,7,,
worthington,1,Cmte on engrossed bills - Howell move,,1813-05-24,13,7,,
brown,2,Cmte on 42nd rule,,1813-05-24,13,7,,
bulloch,1,Cmte on 42nd rule,,1813-05-24,13,7,,
campbell,3,Cmte on 42nd rule,,1813-05-24,13,7,,
cutts,2,Cmte on 42nd rule,,1813-05-24,13,7,,
dana,6,Cmte on 42nd rule,,1813-05-24,13,7,,
gaillard,2,Cmte on 42nd rule,,1813-05-24,13,7,,
gilman,7,Cmte on 42nd rule,,1813-05-24,13,7,,
horsey,3,Cmte on 42nd rule,,1813-05-24,13,7,,
howell,6,Cmte on 42nd rule,,1813-05-24,13,7,,
hunter,2,Cmte on 42nd rule,,1813-05-24,13,7,,
lacock,3,Cmte on 42nd rule,,1813-05-24,13,7,,
leib,16,Cmte on 42nd rule,,1813-05-24,13,7,,
morrow,4,Cmte on 42nd rule,,1813-05-24,13,7,,
roberts,2,Cmte on 42nd rule,,1813-05-24,13,7,,
stone,1,Cmte on 42nd rule,,1813-05-24,13,7,,
tait,2,Cmte on 42nd rule,,1813-05-24,13,7,,
taylor,1,Cmte on 42nd rule,,1813-05-24,13,7,,
turner,3,Cmte on 42nd rule,,1813-05-24,13,7,,
varnum,2,Cmte on 42nd rule,,1813-05-24,13,7,,
worthington,3,Cmte on 42nd rule,,1813-05-24,13,7,,
anderson,17,Jt cmte to wait on PUS,,1813-05-24,13,7,,
brown,3,Jt cmte to wait on PUS,,1813-05-24,13,7,,
chase,1,Jt cmte to wait on PUS,,1813-05-24,13,7,,
cutts,2,Jt cmte to wait on PUS,,1813-05-24,13,7,,
gaillard,8,Jt cmte to wait on PUS,,1813-05-24,13,7,,
