name,votes,committee,cmte_type,date,congress,page,first,st
adams,4,cmte to wait on PUS,,1807-10-26,10,4,,
anderson,13,cmte to wait on PUS,,1807-10-26,10,4,,
bradley,8,cmte to wait on PUS,,1807-10-26,10,4,,
gilman,4,cmte to wait on PUS,,1807-10-26,10,4,,
milledge,2,cmte to wait on PUS,,1807-10-26,10,4,,
mitchill,2,cmte to wait on PUS,,1807-10-26,10,4,,
pickering,1,cmte to wait on PUS,,1807-10-26,10,4,,
pope,1,cmte to wait on PUS,,1807-10-26,10,4,,
robinson,1,cmte to wait on PUS,,1807-10-26,10,4,,
smith,5,cmte to wait on PUS,,1807-10-26,10,4,Samuel,MD
sumter,2,cmte to wait on PUS,,1807-10-26,10,4,,
adams,21,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4,,
anderson,8,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4,,
bradley,8,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4,,
condit,1,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4,,
franklin,4,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4,,
gilman,7,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4,,
gregg,4,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4,,
jones,2,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4,,
kitchell,1,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4,,
maclay,4,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4,,
milledge,9,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4,,
mitchill,9,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4,,
parker,1,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4,,
pickering,2,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4,,
pope,3,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4,,
smith,16,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4,Samuel,MD
sumter,8,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4,,
thruston,2,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4,,
tiffin,3,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4,,
turner,4,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4,,
white,2,Cmte on Adams's motion message respecting armed vessels,,1807-10-30,10,4,,
adams,3,Cmte on Adams's motion on formation of seamen into special militia,,1807-10-30,10,4,,
anderson,3,Cmte on Adams's motion on formation of seamen into special militia,,1807-10-30,10,4,,
bradley,8,Cmte on Adams's motion on formation of seamen into special militia,,1807-10-30,10,4,,
condit,1,Cmte on Adams's motion on formation of seamen into special militia,,1807-10-30,10,4,,
franklin,3,Cmte on Adams's motion on formation of seamen into special militia,,1807-10-30,10,4,,
gilman,4,Cmte on Adams's motion on formation of seamen into special militia,,1807-10-30,10,4,,
gregg,2,Cmte on Adams's motion on formation of seamen into special militia,,1807-10-30,10,4,,
howland,1,Cmte on Adams's motion on formation of seamen into special militia,,1807-10-30,10,4,,
jones,1,Cmte on Adams's motion on formation of seamen into special militia,,1807-10-30,10,4,,
kitchell,1,Cmte on Adams's motion on formation of seamen into special militia,,1807-10-30,10,4,,
maclay,3,Cmte on Adams's motion on formation of seamen into special militia,,1807-10-30,10,4,,
milledge,1,Cmte on Adams's motion on formation of seamen into special militia,,1807-10-30,10,4,,
mitchill,5,Cmte on Adams's motion on formation of seamen into special militia,,1807-10-30,10,4,,
pope,2,Cmte on Adams's motion on formation of seamen into special militia,,1807-10-30,10,4,,
smith,9,Cmte on Adams's motion on formation of seamen into special militia,,1807-10-30,10,4,Samuel,MD
smith,1,Cmte on Adams's motion on formation of seamen into special militia,,1807-10-30,10,4,Daniel,TN
sumter,8,Cmte on Adams's motion on formation of seamen into special militia,,1807-10-30,10,4,,
thruston,2,Cmte on Adams's motion on formation of seamen into special militia,,1807-10-30,10,4,,
tiffin,3,Cmte on Adams's motion on formation of seamen into special militia,,1807-10-30,10,4,,
turner,2,Cmte on Adams's motion on formation of seamen into special militia,,1807-10-30,10,4,,
white,2,Cmte on Adams's motion on formation of seamen into special militia,,1807-10-30,10,4,,
adams,5,Cmte on Anderson's motion to consider reduction of price of certain lands in TN - 3 members,,1807-11-04,10,4,,
anderson,19,Cmte on Anderson's motion to consider reduction of price of certain lands in TN - 3 members,,1807-11-04,10,4,,
bradley,11,Cmte on Anderson's motion to consider reduction of price of certain lands in TN - 3 members,,1807-11-04,10,4,,
condit,1,Cmte on Anderson's motion to consider reduction of price of certain lands in TN - 3 members,,1807-11-04,10,4,,
franklin,4,Cmte on Anderson's motion to consider reduction of price of certain lands in TN - 3 members,,1807-11-04,10,4,,
gaillard,1,Cmte on Anderson's motion to consider reduction of price of certain lands in TN - 3 members,,1807-11-04,10,4,,
gilman,1,Cmte on Anderson's motion to consider reduction of price of certain lands in TN - 3 members,,1807-11-04,10,4,,
gregg,1,Cmte on Anderson's motion to consider reduction of price of certain lands in TN - 3 members,,1807-11-04,10,4,,
hillhouse,4,Cmte on Anderson's motion to consider reduction of price of certain lands in TN - 3 members,,1807-11-04,10,4,,
howland,1,Cmte on Anderson's motion to consider reduction of price of certain lands in TN - 3 members,,1807-11-04,10,4,,
kitchell,1,Cmte on Anderson's motion to consider reduction of price of certain lands in TN - 3 members,,1807-11-04,10,4,,
maclay,1,Cmte on Anderson's motion to consider reduction of price of certain lands in TN - 3 members,,1807-11-04,10,4,,
pope,1,Cmte on Anderson's motion to consider reduction of price of certain lands in TN - 3 members,,1807-11-04,10,4,,
sumter,2,Cmte on Anderson's motion to consider reduction of price of certain lands in TN - 3 members,,1807-11-04,10,4,,
thruston,3,Cmte on Anderson's motion to consider reduction of price of certain lands in TN - 3 members,,1807-11-04,10,4,,
turner,3,Cmte on Anderson's motion to consider reduction of price of certain lands in TN - 3 members,,1807-11-04,10,4,,
white,4,Cmte on Anderson's motion to consider reduction of price of certain lands in TN - 3 members,,1807-11-04,10,4,,
adams,20,emte on Audit public accounts,,1807-11-04,10,4,,
anderson,12,emte on Audit public accounts,,1807-11-04,10,4,,
bradley,3,emte on Audit public accounts,,1807-11-04,10,4,,
condit,1,emte on Audit public accounts,,1807-11-04,10,4,,
