senator_id,first_name,middle_name,last_name,TotalVotes,TotalCongresses,TotalCommittees,MaxVotes,VotesPerCmte,VotesPerCongress
J000005,Andrew,,jackson,46,1,28,6,1.64,46.0
J000182,William,Samuel,johnson,45,1,21,5,2.14,45.0
S000312,James,,sheafe,37,1,9,11,4.11,37.0
B000049,Theodorus,,bailey,37,1,19,5,1.95,37.0
H000661,John,Sloss,hobart,36,1,14,10,2.57,36.0
C000627,John,Ewing,colhoun,36,1,8,16,4.5,36.0
G000489,Stanley,,griswold,34,1,21,7,1.62,34.0
H000629,William,,hindman,31,1,18,7,1.72,31.0
O000041,Aaron,,ogden,25,1,10,6,2.5,25.0
G000020,Albert,,gallatin,25,1,7,11,3.57,25.0
J000220,George,,jones,19,1,10,6,1.9,19.0
E000155,Jonathan,,elmer,7,1,7,1,1.0,7.0
